,Unnamed: 0,Age,Job,Marital Status,Education,Credit,Balance,Housing Loan,Personal Loan,Telphone only,Last Contact Day,Last Contact Month,Last Contact Duration,Campaign Freq,Lag in days,Previous Freq,Previous outcome,Accepted Offer?
21370,21370,61,retired,married,primary,no,0,yes,yes,telephone,18,aug,280,13,-1,0,unknown,No
29158,29158,83,retired,married,primary,no,425,no,no,telephone,2,feb,912,1,-1,0,unknown,No
29221,29221,61,housemaid,single,unknown,no,893,no,no,telephone,2,feb,324,1,-1,0,unknown,No
29382,29382,65,retired,married,primary,no,1343,no,no,telephone,2,feb,468,2,-1,0,unknown,No
29610,29610,69,retired,married,primary,no,2713,no,no,telephone,3,feb,32,1,-1,0,unknown,No
30176,30176,69,management,married,tertiary,no,840,no,no,telephone,5,feb,128,3,-1,0,unknown,Yes
30488,30488,64,management,married,tertiary,no,6251,no,no,telephone,5,feb,125,7,-1,0,unknown,No
30600,30600,61,retired,married,primary,no,3738,no,no,telephone,6,feb,188,1,-1,0,unknown,No
30696,30696,67,retired,single,primary,no,491,no,no,telephone,6,feb,110,1,-1,0,unknown,No
30908,30908,76,retired,married,primary,no,2590,no,no,telephone,9,feb,68,12,-1,0,unknown,No
31018,31018,66,unemployed,single,primary,no,1323,no,no,telephone,10,feb,207,11,-1,0,unknown,No
31051,31051,83,retired,single,primary,no,3349,no,no,telephone,12,feb,89,1,-1,0,unknown,No
31052,31052,71,retired,married,unknown,no,362,no,no,telephone,12,feb,139,2,-1,0,unknown,No
31055,31055,85,retired,married,primary,no,12114,no,no,telephone,12,feb,165,2,-1,0,unknown,Yes
31094,31094,63,retired,married,secondary,no,1612,no,no,telephone,17,feb,233,2,-1,0,unknown,Yes
31101,31101,74,retired,married,secondary,no,1714,no,no,telephone,17,feb,127,1,-1,0,unknown,Yes
31102,31102,62,management,divorced,tertiary,no,5943,no,no,telephone,17,feb,196,4,-1,0,unknown,Yes
31121,31121,61,technician,married,tertiary,no,1263,no,no,telephone,18,feb,176,4,-1,0,unknown,No
31145,31145,80,retired,married,primary,no,1021,no,no,telephone,26,feb,37,1,-1,0,unknown,No
31149,31149,71,retired,married,tertiary,no,653,no,no,telephone,26,feb,367,1,-1,0,unknown,Yes
31150,31150,62,housemaid,married,unknown,no,2021,no,no,telephone,26,feb,361,1,-1,0,unknown,Yes
31151,31151,78,retired,married,primary,no,2735,no,no,telephone,26,feb,418,2,-1,0,unknown,No
31189,31189,75,retired,married,secondary,no,1470,no,no,telephone,27,feb,49,1,-1,0,unknown,No
31209,31209,62,unknown,married,secondary,no,367,no,no,telephone,2,mar,139,5,-1,0,unknown,No
31249,31249,68,retired,married,secondary,no,1316,no,no,telephone,4,mar,92,5,-1,0,unknown,No
31261,31261,83,retired,divorced,primary,no,1097,no,no,telephone,5,mar,181,1,-1,0,unknown,Yes
31285,31285,79,retired,married,secondary,no,8304,no,no,telephone,9,mar,303,9,-1,0,unknown,Yes
