Month-Year,Number of Tractor Sold,Moving Average,CMA
Jan-03,141,,
Feb-03,157,,
Mar-03,185,,
Apr-03,199,,
May-03,203,,
Jun-03,189,176,
Jul-03,207,176.3333333,176.1666667
Aug-03,207,177.25,176.7916667
Sep-03,171,178.25,177.75
Oct-03,150,179,178.625
Nov-03,138,179.5833333,179.2916667
Dec-03,165,181.25,180.4166667
Jan-04,145,183.8333333,182.5416667
Feb-04,168,186.4166667,185.125
Mar-04,197,188.75,187.5833333
Apr-04,208,190.25,189.5
May-04,210,191.4166667,190.8333333
Jun-04,209,194,192.7083333
Jul-04,238,197.1666667,195.5833333
Aug-04,238,199.8333333,198.5
Sep-04,199,204.1666667,202
Oct-04,168,207.75,205.9583333
Nov-04,152,214.3333333,211.0416667
Dec-04,196,217.6666667,216
Jan-05,183,221.0833333,219.375
Feb-05,200,224.5,222.7916667
Mar-05,249,227.25,225.875
Apr-05,251,230.25,228.75
May-05,289,233.75,232
Jun-05,249,236.75,235.25
Jul-05,279,239.4166667,238.0833333
Aug-05,279,242.6666667,241.0416667
Sep-05,232,244.4166667,243.5416667
Oct-05,204,246.75,245.5833333
Nov-05,194,248.25,247.5
Dec-05,232,252.9166667,250.5833333
Jan-06,215,256.5,254.7083333
Feb-06,239,261.5,259
Mar-06,270,264.0833333,262.7916667
Apr-06,279,267.1666667,265.625
May-06,307,270.0833333,268.625
Jun-06,305,273.4166667,271.75
Jul-06,322,276.0833333,274.75
Aug-06,339,277.9166667,277
Sep-06,263,282.9166667,280.4166667
Oct-06,241,289.8333333,286.375
Nov-06,229,296.3333333,293.0833333
Dec-06,272,299.25,297.7916667
Jan-07,247,303.25,301.25
Feb-07,261,306.75,305
Mar-07,330,309.75,308.25
Apr-07,362,311.8333333,310.7916667
May-07,385,312.6666667,312.25
Jun-07,340,313.4166667,313.0416667
Jul-07,370,314.25,313.8333333
Aug-07,381,313.3333333,313.7916667
Sep-07,299,313.25,313.2916667
Oct-07,266,312.25,312.75
Nov-07,239,312.9166667,312.5833333
Dec-07,281,315.4166667,314.1666667
Jan-08,257,319.8333333,317.625
Feb-08,250,322.25,321.0416667
Mar-08,329,324.5,323.375
Apr-08,350,326.4166667,325.4583333
May-08,393,329,327.7083333
Jun-08,370,332.3333333,330.6666667
Jul-08,423,336.3333333,334.3333333
Aug-08,410,341.3333333,338.8333333
Sep-08,326,345.0833333,343.2083333
Oct-08,289,350.4166667,347.75
Nov-08,270,355.5,352.9583333
Dec-08,321,361.4166667,358.4583333
Jan-09,305,368.6666667,365.0416667
Feb-09,310,375,371.8333333
Mar-09,374,380.5833333,377.7916667
Apr-09,414,385.25,382.9166667
May-09,454,389,387.125
Jun-09,441,394.6666667,391.8333333
Jul-09,510,399.0833333,396.875
Aug-09,486,403.9166667,401.5
Sep-09,393,409.75,406.8333333
Oct-09,345,415.4166667,412.5833333
Nov-09,315,422.0833333,418.75
Dec-09,389,429,425.5416667
Jan-10,358,434.6666667,431.8333333
Feb-10,368,441.4166667,438.0416667
Mar-10,444,445.9166667,443.6666667
Apr-10,482,449.3333333,447.625
May-10,534,453.0833333,451.2083333
Jun-10,524,456.3333333,454.7083333
Jul-10,578,459.5833333,457.9583333
Aug-10,567,462.25,460.9166667
Sep-10,447,466.75,464.5
Oct-10,386,471.25,469
Nov-10,360,476.4166667,473.8333333
Dec-10,428,482,479.2083333
Jan-11,397,488.0833333,485.0416667
Feb-11,400,495.3333333,491.7083333
Mar-11,498,500.5,497.9166667
Apr-11,536,504.75,502.625
May-11,596,508.5833333,506.6666667
Jun-11,591,512.0833333,510.3333333
Jul-11,651,514.6666667,513.375
Aug-11,654,516.5833333,515.625
Sep-11,509,517.3333333,516.9583333
Oct-11,437,517.3333333,517.3333333
Nov-11,406,518.5,517.9166667
Dec-11,470,520,519.25
Jan-12,428,523,521.5
Feb-12,423,527.4166667,525.2083333
Mar-12,507,527.4166667,527.4166667
Apr-12,536,528.6666667,528.0416667
May-12,610,529.1666667,528.9166667
Jun-12,609,529.3333333,529.25
Jul-12,687,531.5,530.4166667
Aug-12,707,534.1666667,532.8333333
Sep-12,509,539.25,536.7083333
Oct-12,452,545.4166667,542.3333333
Nov-12,412,553.4166667,549.4166667
Dec-12,472,557.75,555.5833333
Jan-13,454,564.4166667,561.0833333
Feb-13,455,570.75,567.5833333
Mar-13,568,576.9166667,573.8333333
Apr-13,610,582,579.4583333
May-13,706,587.75,584.875
Jun-13,661,595.6666667,591.7083333
Jul-13,767,601.5833333,598.625
Aug-13,783,607,604.2916667
Sep-13,583,608.5833333,607.7916667
Oct-13,513,616.9166667,612.75
Nov-13,481,624.1666667,620.5416667
Dec-13,567,631.5,627.8333333
Jan-14,525,640.1666667,635.8333333
Feb-14,520,645.5833333,642.875
Mar-14,587,650.3333333,647.9583333
Apr-14,710,656,653.1666667
May-14,793,659.1666667,657.5833333
Jun-14,749,662.3333333,660.75
Jul-14,871,,
Aug-14,848,,
Sep-14,640,,
Oct-14,581,,
Nov-14,519,,
Dec-14,605,,
