,Hour,Hour_count
0,18,3123
1,21,9135
2,21,9135
3,20,6859
4,21,9135
5,1,2339
6,21,9135
7,20,6859
8,10,902
9,22,8256
10,12,1016
11,8,617
12,18,3123
13,16,1208
14,18,3123
15,22,8256
16,12,1016
17,11,850
18,11,850
19,14,956
20,14,956
21,2,1649
22,21,9135
23,20,6859
24,13,962
25,21,9135
26,14,956
27,22,8256
28,8,617
29,21,9135
30,18,3123
31,22,8256
32,3,1447
33,21,9135
34,23,5744
35,0,2941
36,0,2941
37,19,4783
38,23,5744
39,19,4783
40,22,8256
41,20,6859
42,9,766
43,23,5744
44,19,4783
45,17,1988
46,23,5744
47,6,952
48,18,3123
49,0,2941
50,23,5744
51,23,5744
52,23,5744
53,21,9135
54,0,2941
55,22,8256
56,20,6859
57,21,9135
58,19,4783
59,21,9135
60,20,6859
61,21,9135
62,1,2339
63,7,690
64,1,2339
65,0,2941
66,21,9135
67,0,2941
68,20,6859
69,0,2941
70,19,4783
71,19,4783
72,8,617
73,15,1063
74,20,6859
75,6,952
76,20,6859
77,1,2339
78,8,617
79,18,3123
80,2,1649
81,20,6859
82,20,6859
83,1,2339
84,23,5744
85,23,5744
86,22,8256
87,18,3123
88,17,1988
89,22,8256
90,1,2339
91,23,5744
92,14,956
93,11,850
94,3,1447
95,1,2339
96,11,850
97,22,8256
98,22,8256
99,19,4783
100,9,766
101,0,2941
102,0,2941
103,18,3123
104,1,2339
105,1,2339
106,23,5744
107,23,5744
108,0,2941
109,23,5744
110,20,6859
111,12,1016
112,17,1988
113,5,1272
114,23,5744
115,11,850
116,20,6859
117,1,2339
118,5,1272
119,20,6859
120,20,6859
121,20,6859
122,21,9135
123,18,3123
124,22,8256
125,11,850
126,0,2941
127,21,9135
128,21,9135
129,21,9135
130,20,6859
131,19,4783
132,21,9135
133,21,9135
134,1,2339
135,22,8256
136,21,9135
137,23,5744
138,20,6859
139,19,4783
140,23,5744
141,19,4783
142,20,6859
143,21,9135
144,2,1649
145,18,3123
146,18,3123
147,22,8256
148,3,1447
149,16,1208
150,21,9135
151,12,1016
152,2,1649
153,15,1063
154,20,6859
155,23,5744
156,8,617
157,16,1208
158,21,9135
159,2,1649
160,14,956
161,23,5744
162,22,8256
163,0,2941
164,18,3123
165,22,8256
166,3,1447
167,19,4783
168,22,8256
169,1,2339
170,1,2339
171,0,2941
172,23,5744
173,0,2941
174,1,2339
175,18,3123
176,16,1208
177,21,9135
178,17,1988
179,2,1649
180,2,1649
181,14,956
182,2,1649
183,23,5744
184,16,1208
185,23,5744
186,8,617
187,23,5744
188,21,9135
189,17,1988
190,11,850
191,0,2941
192,11,850
193,23,5744
194,21,9135
195,20,6859
196,22,8256
197,17,1988
198,16,1208
199,14,956
200,20,6859
201,18,3123
202,14,956
203,0,2941
204,1,2339
205,5,1272
206,23,5744
207,22,8256
208,19,4783
209,22,8256
210,22,8256
211,0,2941
212,19,4783
213,23,5744
214,21,9135
215,1,2339
216,21,9135
217,22,8256
218,22,8256
219,23,5744
220,5,1272
221,0,2941
222,23,5744
223,1,2339
224,20,6859
225,16,1208
226,20,6859
227,22,8256
228,4,1114
229,20,6859
230,22,8256
231,15,1063
232,0,2941
233,18,3123
234,0,2941
235,4,1114
236,21,9135
237,21,9135
238,19,4783
239,22,8256
240,23,5744
241,22,8256
242,21,9135
243,21,9135
244,0,2941
245,22,8256
246,10,902
247,6,952
248,22,8256
249,2,1649
250,21,9135
251,22,8256
252,21,9135
253,21,9135
254,1,2339
255,20,6859
256,22,8256
257,18,3123
258,22,8256
259,23,5744
260,9,766
261,1,2339
262,23,5744
263,10,902
264,21,9135
265,21,9135
266,19,4783
267,11,850
268,4,1114
269,23,5744
270,20,6859
271,7,690
272,18,3123
273,21,9135
274,22,8256
275,22,8256
276,2,1649
277,12,1016
278,19,4783
279,20,6859
280,20,6859
281,21,9135
282,9,766
283,23,5744
284,3,1447
285,1,2339
286,19,4783
287,2,1649
288,22,8256
289,22,8256
290,23,5744
291,0,2941
292,12,1016
293,8,617
294,20,6859
295,14,956
296,20,6859
297,20,6859
298,1,2339
299,19,4783
300,17,1988
301,19,4783
302,20,6859
303,17,1988
304,17,1988
305,1,2339
306,22,8256
307,4,1114
308,21,9135
309,2,1649
310,16,1208
311,3,1447
312,22,8256
313,9,766
314,19,4783
315,22,8256
316,20,6859
317,7,690
318,8,617
319,19,4783
320,17,1988
321,17,1988
322,21,9135
323,2,1649
324,21,9135
325,18,3123
326,22,8256
327,20,6859
328,22,8256
329,15,1063
330,12,1016
331,20,6859
332,9,766
333,21,9135
334,21,9135
335,19,4783
336,17,1988
337,3,1447
338,22,8256
339,19,4783
340,23,5744
341,0,2941
342,20,6859
343,21,9135
344,17,1988
345,1,2339
346,22,8256
347,6,952
348,2,1649
349,7,690
350,17,1988
351,0,2941
352,21,9135
353,17,1988
354,21,9135
355,21,9135
356,0,2941
357,18,3123
358,17,1988
359,23,5744
360,20,6859
361,5,1272
362,17,1988
363,1,2339
364,20,6859
365,19,4783
366,18,3123
367,19,4783
368,20,6859
369,17,1988
370,20,6859
371,22,8256
372,18,3123
373,5,1272
374,3,1447
375,20,6859
376,0,2941
377,17,1988
378,18,3123
379,23,5744
380,23,5744
381,19,4783
382,4,1114
383,17,1988
384,5,1272
385,11,850
386,0,2941
387,16,1208
388,0,2941
389,21,9135
390,23,5744
391,1,2339
392,23,5744
393,21,9135
394,0,2941
395,6,952
396,19,4783
397,1,2339
398,0,2941
399,20,6859
400,8,617
401,5,1272
402,0,2941
403,10,902
404,17,1988
405,20,6859
406,23,5744
407,15,1063
408,19,4783
409,3,1447
410,19,4783
411,6,952
412,15,1063
413,20,6859
414,18,3123
415,21,9135
416,0,2941
417,19,4783
418,19,4783
419,19,4783
420,23,5744
421,22,8256
422,19,4783
423,18,3123
424,8,617
425,23,5744
426,22,8256
427,19,4783
428,14,956
429,18,3123
430,18,3123
431,16,1208
432,21,9135
433,22,8256
434,16,1208
435,19,4783
436,22,8256
437,22,8256
438,22,8256
439,15,1063
440,14,956
441,20,6859
442,13,962
443,19,4783
444,21,9135
445,21,9135
446,22,8256
447,23,5744
448,0,2941
449,22,8256
450,20,6859
451,20,6859
