,Month,Month_count
0,5,3925
1,12,4326
2,10,5841
3,3,4121
4,10,5841
5,8,6341
6,10,5841
7,10,5841
8,10,5841
9,12,4326
10,8,6341
11,1,4272
12,8,6341
13,12,4326
14,10,5841
15,1,4272
16,6,5925
17,3,4121
18,3,4121
19,9,5791
20,9,5791
21,8,6341
22,6,5925
23,5,3925
24,5,3925
25,11,5265
26,10,5841
27,6,5925
28,12,4326
29,10,5841
30,12,4326
31,4,4107
32,2,3529
33,10,5841
34,8,6341
35,1,4272
36,1,4272
37,11,5265
38,10,5841
39,2,3529
40,12,4326
41,12,4326
42,8,6341
43,12,4326
44,11,5265
45,11,5265
46,12,4326
47,11,5265
48,10,5841
49,3,4121
50,10,5841
51,9,5791
52,11,5265
53,12,4326
54,4,4107
55,1,4272
56,12,4326
57,1,4272
58,3,4121
59,2,3529
60,10,5841
61,9,5791
62,7,7189
63,10,5841
64,10,5841
65,2,3529
66,9,5791
67,4,4107
68,3,4121
69,12,4326
70,1,4272
71,1,4272
72,5,3925
73,6,5925
74,11,5265
75,10,5841
76,5,3925
77,10,5841
78,3,4121
79,12,4326
80,10,5841
81,1,4272
82,1,4272
83,6,5925
84,9,5791
85,9,5791
86,4,4107
87,3,4121
88,12,4326
89,3,4121
90,1,4272
91,6,5925
92,8,6341
93,3,4121
94,9,5791
95,3,4121
96,3,4121
97,5,3925
98,3,4121
99,9,5791
100,11,5265
101,12,4326
102,6,5925
103,9,5791
104,1,4272
105,4,4107
106,4,4107
107,10,5841
108,3,4121
109,10,5841
110,12,4326
111,12,4326
112,10,5841
113,2,3529
114,9,5791
115,11,5265
116,11,5265
117,8,6341
118,8,6341
119,10,5841
120,9,5791
121,10,5841
122,8,6341
123,11,5265
124,9,5791
125,7,7189
126,2,3529
127,12,4326
128,10,5841
129,1,4272
130,12,4326
131,11,5265
132,9,5791
133,10,5841
134,12,4326
135,2,3529
136,3,4121
137,12,4326
138,3,4121
139,2,3529
140,3,4121
141,11,5265
142,1,4272
143,1,4272
144,10,5841
145,1,4272
146,4,4107
147,1,4272
148,9,5791
149,12,4326
150,3,4121
151,2,3529
152,12,4326
153,12,4326
154,12,4326
155,12,4326
156,2,3529
157,7,7189
158,9,5791
159,2,3529
160,11,5265
161,8,6341
162,10,5841
163,11,5265
164,2,3529
165,9,5791
166,4,4107
167,12,4326
168,11,5265
169,7,7189
170,7,7189
171,11,5265
172,8,6341
173,3,4121
174,9,5791
175,4,4107
176,11,5265
177,3,4121
178,1,4272
179,12,4326
180,12,4326
181,6,5925
182,6,5925
183,9,5791
184,12,4326
185,8,6341
186,2,3529
187,9,5791
188,1,4272
189,11,5265
190,4,4107
