,Year,Year_count
0,2005,3046
1,2000,2012
2,2006,2749
3,2014,1894
4,2011,4215
5,1972,107
6,2006,2749
7,2013,5862
8,1998,1191
9,2013,5862
10,2004,3067
11,2003,2782
12,2010,3423
13,2013,5862
14,2012,6096
15,2014,1894
16,1997,856
17,2008,3867
18,2008,3867
19,2006,2749
20,2006,2749
21,1986,134
22,1949,14
23,2009,3502
24,1999,1924
25,2012,6096
26,2006,2749
27,2001,2295
28,2013,5862
29,2012,6096
30,2013,5862
31,2014,1894
32,2014,1894
33,2012,6096
34,2009,3502
35,2010,3423
36,2012,6096
37,2012,6096
38,2000,2012
39,2014,1894
40,2013,5862
41,2010,3423
42,2012,6096
43,2005,3046
44,2012,6096
45,2006,2749
46,2013,5862
47,1987,156
48,2013,5862
49,2014,1894
50,2012,6096
51,2003,2782
52,2006,2749
53,2011,4215
54,2003,2782
55,1995,378
56,2004,3067
57,2005,3046
58,2012,6096
59,2003,2782
60,2012,6096
61,2012,6096
62,2012,6096
63,2003,2782
64,2005,3046
65,2014,1894
66,2013,5862
67,2005,3046
68,1998,1191
69,2003,2782
70,2012,6096
71,2012,6096
72,2004,3067
73,2008,3867
74,2007,3338
75,2012,6096
76,2012,6096
77,2010,3423
78,2002,2298
79,2013,5862
80,2013,5862
81,2012,6096
82,2002,2298
83,2013,5862
84,1998,1191
85,1998,1191
86,2012,6096
87,2013,5862
88,2009,3502
89,2012,6096
90,2009,3502
91,2002,2298
92,1996,396
93,2014,1894
94,1998,1191
95,2014,1894
96,2014,1894
97,1973,166
98,2014,1894
99,1995,378
100,1974,200
101,2001,2295
102,2003,2782
103,1966,144
104,2013,5862
105,2012,6096
106,2000,2012
107,2012,6096
108,2008,3867
109,2001,2295
110,2013,5862
111,1998,1191
112,1936,1
113,2005,3046
114,1969,114
115,1993,204
116,2011,4215
117,2003,2782
118,2001,2295
119,2013,5862
120,2013,5862
121,2013,5862
122,2013,5862
123,2003,2782
124,2013,5862
125,1949,14
126,2002,2298
127,2006,2749
128,2013,5862
129,2013,5862
130,1998,1191
131,1969,114
132,2013,5862
133,2012,6096
134,2013,5862
135,2009,3502
136,2004,3067
137,2013,5862
138,2005,3046
139,2012,6096
140,2009,3502
141,2012,6096
142,2005,3046
143,2005,3046
144,2001,2295
145,2009,3502
146,2000,2012
147,1998,1191
148,2004,3067
149,2012,6096
150,1999,1924
151,2006,2749
152,2011,4215
153,2008,3867
154,2004,3067
155,2013,5862
156,2011,4215
157,2008,3867
158,2012,6096
159,1954,32
160,1986,134
161,1980,179
162,1989,180
163,2005,3046
164,2012,6096
165,2009,3502
166,2007,3338
167,2012,6096
168,2012,6096
169,2012,6096
170,2012,6096
171,2000,2012
172,2009,3502
173,2011,4215
174,1985,153
175,2005,3046
176,2010,3423
177,1997,856
178,2011,4215
179,1968,157
180,1968,157
181,1982,122
182,2009,3502
183,1998,1191
184,2009,3502
185,1997,856
186,2000,2012
187,2003,2782
188,1987,156
189,1969,114
190,2014,1894
191,2004,3067
192,2014,1894
193,1999,1924
194,2014,1894
195,2004,3067
196,2012,6096
197,2013,5862
198,2012,6096
199,1978,231
200,2008,3867
201,1998,1191
202,2013,5862
203,2014,1894
204,2013,5862
205,2002,2298
206,2001,2295
207,1999,1924
208,1962,49
209,2001,2295
210,2014,1894
211,1999,1924
212,2005,3046
213,2014,1894
214,2011,4215
215,1999,1924
216,2013,5862
217,2013,5862
218,2007,3338
219,2012,6096
220,2013,5862
221,2002,2298
222,2006,2749
223,2006,2749
224,1998,1191
225,2000,2012
226,1999,1924
227,1998,1191
228,2011,4215
229,2011,4215
230,2000,2012
231,1997,856
232,1988,163
233,1975,228
234,2008,3867
235,2013,5862
236,2013,5862
237,2013,5862
238,2013,5862
239,1999,1924
240,2014,1894
241,2001,2295
242,2013,5862
243,2012,6096
244,2010,3423
245,2001,2295
246,2000,2012
247,2012,6096
248,2011,4215
249,1985,153
250,2011,4215
251,1996,396
252,1999,1924
253,1999,1924
254,2001,2295
255,1990,170
256,2012,6096
257,2013,5862
258,1976,206
259,1984,131
260,1990,170
261,1987,156
262,1986,134
263,1969,114
264,2009,3502
265,2002,2298
266,2014,1894
267,2014,1894
268,2011,4215
269,2013,5862
270,2013,5862
271,1988,163
272,2013,5862
273,2013,5862
274,1999,1924
275,2005,3046
276,1995,378
277,2006,2749
278,2012,6096
279,2011,4215
280,2011,4215
281,2010,3423
282,2011,4215
283,2013,5862
284,1997,856
285,2005,3046
286,2009,3502
287,2014,1894
288,2014,1894
289,2007,3338
290,2012,6096
291,2010,3423
292,2010,3423
293,2001,2295
294,2001,2295
295,2003,2782
296,2012,6096
297,2008,3867
298,2008,3867
299,2012,6096
300,2010,3423
301,2000,2012
302,2013,5862
303,1999,1924
304,2013,5862
305,2008,3867
306,2011,4215
307,2012,6096
308,2007,3338
309,2008,3867
310,2010,3423
311,2009,3502
312,1999,1924
313,1998,1191
314,2011,4215
315,2003,2782
316,2010,3423
317,2011,4215
318,2011,4215
319,2003,2782
320,1998,1191
321,2012,6096
322,2013,5862
323,2008,3867
324,2006,2749
325,2007,3338
326,2003,2782
327,1999,1924
328,2006,2749
329,2012,6096
330,2008,3867
331,2003,2782
332,2009,3502
333,2007,3338
334,2007,3338
335,2005,3046
336,1985,153
337,2011,4215
338,2012,6096
339,2008,3867
340,2009,3502
341,2001,2295
342,2014,1894
343,2002,2298
344,2010,3423
345,1987,156
346,2000,2012
347,2007,3338
348,2004,3067
349,2008,3867
350,2006,2749
351,2004,3067
352,2011,4215
353,2006,2749
354,2012,6096
355,2007,3338
356,2003,2782
357,1976,206
358,1975,228
359,2007,3338
360,2007,3338
361,2012,6096
362,2006,2749
363,2006,2749
364,2013,5862
365,1999,1924
366,2014,1894
367,2014,1894
368,2012,6096
369,2006,2749
370,2014,1894
371,2003,2782
372,2009,3502
373,2006,2749
374,2012,6096
375,2013,5862
376,2007,3338
377,2009,3502
378,1967,138
379,2012,6096
380,1978,231
381,2003,2782
382,1999,1924
383,2006,2749
384,2012,6096
385,2006,2749
386,1999,1924
387,2006,2749
388,2010,3423
389,1980,179
390,2005,3046
391,2009,3502
392,2008,3867
393,2007,3338
394,2008,3867
395,2012,6096
396,1951,11
397,2013,5862
398,2003,2782
399,2014,1894
400,2006,2749
401,2008,3867
402,1956,33
403,2010,3423
404,2006,2749
405,2014,1894
406,2013,5862
407,1973,166
408,2013,5862
409,2014,1894
410,1978,231
411,2012,6096
412,2012,6096
413,2004,3067
414,2013,5862
415,2011,4215
416,2008,3867
417,1971,88
418,2003,2782
419,2008,3867
420,2012,6096
421,2010,3423
422,2004,3067
423,1973,166
424,1972,107
425,1975,228
426,1987,156
427,1985,153
428,1994,283
429,1967,138
430,2000,2012
431,2003,2782
432,2013,5862
433,2003,2782
434,2005,3046
435,2000,2012
436,2003,2782
437,2003,2782
438,2003,2782
439,2010,3423
440,2005,3046
441,2006,2749
442,2005,3046
443,2010,3423
444,2000,2012
445,2013,5862
446,1995,378
447,2008,3867
448,2013,5862
449,2014,1894
450,2014,1894
451,2012,6096
452,2009,3502
453,1998,1191
454,1973,166
455,2014,1894
456,1967,138
457,1998,1191
458,2013,5862
459,2008,3867
460,2009,3502
461,2014,1894
462,2009,3502
463,2007,3338
464,2004,3067
465,2003,2782
466,2011,4215
467,2008,3867
468,2009,3502
469,2004,3067
470,2011,4215
471,2008,3867
472,2007,3338
473,2003,2782
474,2002,2298
475,2008,3867
476,2013,5862
477,2007,3338
478,2002,2298
479,2003,2782
480,2005,3046
481,1975,228
482,1998,1191
483,2012,6096
484,2011,4215
485,2010,3423
486,1997,856
487,2014,1894
488,2013,5862
489,1997,856
490,2008,3867
491,2013,5862
492,1964,69
493,2012,6096
494,2006,2749
495,2010,3423
496,2013,5862
497,2008,3867
498,2003,2782
499,2010,3423
500,2013,5862
501,2012,6096
502,2013,5862
503,2001,2295
504,2004,3067
505,2006,2749
506,2013,5862
507,2007,3338
508,2007,3338
509,2000,2012
510,2011,4215
511,2005,3046
512,2000,2012
513,2010,3423
514,2009,3502
515,1971,88
516,2001,2295
517,1999,1924
518,2014,1894
519,2004,3067
520,2014,1894
