,Shape,Shape_count
0,disk,3853
1,changing,1517
2,changing,1517
3,cigar,1569
4,circle,5890
5,circle,5890
6,circle,5890
7,circle,5890
8,circle,5890
9,circle,5890
10,circle,5890
11,circle,5890
12,circle,5890
13,circle,5890
14,cylinder,977
15,cylinder,977
16,cylinder,977
17,disk,3853
18,disk,3853
19,disk,3853
20,disk,3853
21,disk,3853
22,disk,3853
23,disk,3853
24,disk,3853
25,disk,3853
26,disk,3853
27,egg,555
28,fireball,4939
29,fireball,4939
30,flash,1025
31,flash,1025
32,flash,1025
33,formation,1908
34,formation,1908
35,light,12895
36,light,12895
37,light,12895
38,light,12895
39,light,12895
40,light,12895
41,light,12895
42,light,12895
43,light,12895
44,light,12895
45,light,12895
46,light,12895
47,light,12895
48,light,12895
49,light,12895
50,light,12895
51,light,12895
52,light,12895
53,light,12895
54,light,12895
55,light,12895
56,light,12895
57,light,12895
58,light,12895
59,light,12895
60,light,12895
61,light,12895
62,other,4209
63,other,4209
64,other,4209
65,oval,2881
66,oval,2881
67,oval,2881
68,oval,2881
69,sphere,4134
70,sphere,4134
71,sphere,4134
72,sphere,4134
73,teardrop,560
74,triangle,6268
75,triangle,6268
76,triangle,6268
77,triangle,6268
78,triangle,6268
79,unknown,4359
80,unknown,4359
81,unknown,4359
82,unknown,4359
83,sphere,4134
84,light,12895
85,light,12895
86,circle,5890
87,circle,5890
88,disk,3853
89,light,12895
90,other,4209
91,other,4209
92,triangle,6268
93,triangle,6268
94,light,12895
95,light,12895
96,light,12895
97,rectangle,1010
98,sphere,4134
99,fireball,4939
100,disk,3853
101,sphere,4134
102,oval,2881
103,cigar,1569
104,triangle,6268
105,fireball,4939
106,light,12895
107,light,12895
108,light,12895
109,other,4209
110,other,4209
111,oval,2881
112,cigar,1569
113,flash,1025
114,cigar,1569
115,cigar,1569
116,circle,5890
117,circle,5890
118,circle,5890
119,circle,5890
120,circle,5890
121,diamond,884
122,diamond,884
123,disk,3853
124,disk,3853
125,disk,3853
126,fireball,4939
127,fireball,4939
128,fireball,4939
129,fireball,4939
130,formation,1908
131,formation,1908
132,light,12895
133,light,12895
134,light,12895
135,light,12895
136,light,12895
137,light,12895
138,light,12895
139,light,12895
140,light,12895
141,light,12895
142,other,4209
143,other,4209
144,other,4209
145,oval,2881
146,oval,2881
147,oval,2881
148,oval,2881
149,oval,2881
150,sphere,4134
151,sphere,4134
152,sphere,4134
153,unknown,4359
154,unknown,4359
155,unknown,4359
156,unknown,4359
157,unknown,4359
158,unknown,4359
159,unknown,4359
160,sphere,4134
161,rectangle,1010
162,unknown,4359
163,unknown,4359
164,diamond,884
165,light,12895
166,fireball,4939
167,fireball,4939
168,flash,1025
169,light,12895
170,light,12895
171,other,4209
172,oval,2881
173,unknown,4359
174,circle,5890
175,disk,3853
176,fireball,4939
177,light,12895
178,light,12895
179,other,4209
180,other,4209
181,sphere,4134
182,triangle,6268
183,triangle,6268
184,light,12895
185,cigar,1569
186,cone,235
187,flash,1025
188,light,12895
189,light,12895
190,light,12895
191,light,12895
192,oval,2881
193,circle,5890
194,fireball,4939
195,light,12895
196,light,12895
197,light,12895
198,light,12895
199,rectangle,1010
200,light,12895
201,light,12895
202,other,4209
203,sphere,4134
204,triangle,6268
205,disk,3853
206,fireball,4939
207,light,12895
208,oval,2881
209,light,12895
210,light,12895
211,other,4209
212,triangle,6268
213,circle,5890
214,light,12895
215,fireball,4939
216,flash,1025
217,flash,1025
218,formation,1908
219,light,12895
220,light,12895
221,other,4209
222,other,4209
223,oval,2881
224,sphere,4134
225,sphere,4134
226,sphere,4134
227,sphere,4134
228,triangle,6268
229,triangle,6268
230,unknown,4359
231,unknown,4359
232,unknown,4359
233,light,12895
234,fireball,4939
235,circle,5890
236,circle,5890
237,cylinder,977
238,fireball,4939
239,flash,1025
240,light,12895
241,light,12895
242,light,12895
243,sphere,4134
244,sphere,4134
245,triangle,6268
246,disk,3853
247,light,12895
248,light,12895
249,disk,3853
250,light,12895
251,light,12895
252,light,12895
253,light,12895
254,triangle,6268
255,light,12895
256,flash,1025
257,light,12895
258,sphere,4134
259,light,12895
260,changing,1517
261,disk,3853
262,oval,2881
263,disk,3853
264,circle,5890
265,light,12895
266,diamond,884
267,changing,1517
268,circle,5890
269,circle,5890
270,disk,3853
271,disk,3853
272,disk,3853
273,fireball,4939
274,flash,1025
275,light,12895
276,light,12895
277,oval,2881
278,sphere,4134
279,sphere,4134
280,sphere,4134
281,sphere,4134
282,triangle,6268
283,triangle,6268
284,triangle,6268
285,triangle,6268
286,triangle,6268
287,triangle,6268
288,triangle,6268
289,circle,5890
290,fireball,4939
291,formation,1908
292,sphere,4134
293,light,12895
294,light,12895
295,changing,1517
296,sphere,4134
297,sphere,4134
298,disk,3853
299,cigar,1569
300,circle,5890
301,egg,555
302,fireball,4939
303,fireball,4939
304,fireball,4939
305,circle,5890
306,fireball,4939
307,light,12895
308,light,12895
309,light,12895
310,oval,2881
311,unknown,4359
312,light,12895
313,sphere,4134
314,light,12895
315,oval,2881
316,unknown,4359
317,fireball,4939
318,sphere,4134
319,cylinder,977
320,disk,3853
321,fireball,4939
322,flash,1025
323,light,12895
324,triangle,6268
325,triangle,6268
326,triangle,6268
327,light,12895
328,other,4209
329,light,12895
330,circle,5890
331,egg,555
332,light,12895
333,light,12895
334,other,4209
335,oval,2881
336,unknown,4359
337,light,12895
338,circle,5890
339,light,12895
340,circle,5890
341,fireball,4939
342,formation,1908
343,disk,3853
344,teardrop,560
345,unknown,4359
346,changing,1517
347,chevron,774
348,chevron,774
349,cigar,1569
350,circle,5890
351,circle,5890
352,circle,5890
353,circle,5890
354,cross,177
355,cylinder,977
356,disk,3853
357,disk,3853
358,disk,3853
359,disk,3853
360,disk,3853
361,egg,555
362,fireball,4939
363,fireball,4939
364,fireball,4939
365,flash,1025
366,formation,1908
367,formation,1908
368,light,12895
369,light,12895
370,light,12895
371,light,12895
372,light,12895
373,light,12895
374,light,12895
375,light,12895
376,other,4209
377,other,4209
378,oval,2881
379,oval,2881
380,oval,2881
381,rectangle,1010
382,sphere,4134
383,sphere,4134
384,sphere,4134
385,sphere,4134
386,sphere,4134
387,teardrop,560
388,triangle,6268
389,triangle,6268
390,triangle,6268
391,triangle,6268
392,triangle,6268
393,unknown,4359
394,unknown,4359
395,unknown,4359
396,unknown,4359
397,triangle,6268
398,circle,5890
399,other,4209
400,oval,2881
401,cigar,1569
402,sphere,4134
403,triangle,6268
404,fireball,4939
405,unknown,4359
406,flash,1025
407,disk,3853
408,cigar,1569
409,circle,5890
410,triangle,6268
411,circle,5890
412,cylinder,977
413,unknown,4359
414,fireball,4939
415,oval,2881
416,triangle,6268
417,light,12895
418,other,4209
419,sphere,4134
420,triangle,6268
421,unknown,4359
422,light,12895
423,disk,3853
424,triangle,6268
425,triangle,6268
426,triangle,6268
427,other,4209
428,cylinder,977
429,disk,3853
430,unknown,4359
431,triangle,6268
432,diamond,884
433,diamond,884
434,fireball,4939
435,light,12895
436,oval,2881
437,oval,2881
438,oval,2881
439,sphere,4134
440,triangle,6268
441,light,12895
442,circle,5890
443,chevron,774
444,circle,5890
445,light,12895
446,triangle,6268
447,unknown,4359
448,unknown,4359
449,formation,1908
450,light,12895
451,sphere,4134
452,light,12895
453,changing,1517
454,circle,5890
455,diamond,884
456,light,12895
457,other,4209
458,circle,5890
459,diamond,884
460,diamond,884
461,fireball,4939
462,flash,1025
463,light,12895
464,light,12895
465,light,12895
466,light,12895
467,other,4209
468,triangle,6268
469,unknown,4359
470,sphere,4134
471,changing,1517
472,other,4209
473,light,12895
474,light,12895
475,diamond,884
476,formation,1908
477,triangle,6268
478,chevron,774
479,light,12895
480,light,12895
481,other,4209
482,triangle,6268
483,light,12895
484,light,12895
485,light,12895
486,circle,5890
487,cross,177
488,disk,3853
489,other,4209
490,sphere,4134
491,circle,5890
492,disk,3853
493,light,12895
494,light,12895
495,light,12895
496,sphere,4134
497,teardrop,560
498,triangle,6268
499,cylinder,977
500,diamond,884
501,light,12895
502,light,12895
503,other,4209
504,sphere,4134
505,unknown,4359
506,light,12895
507,light,12895
508,light,12895
509,oval,2881
510,oval,2881
511,triangle,6268
512,triangle,6268
513,chevron,774
514,chevron,774
515,unknown,4359
516,oval,2881
517,rectangle,1010
518,unknown,4359
519,cigar,1569
520,cylinder,977
521,disk,3853
522,light,12895
523,other,4209
524,sphere,4134
525,sphere,4134
526,sphere,4134
527,disk,3853
528,disk,3853
529,light,12895
530,other,4209
531,other,4209
532,sphere,4134
533,sphere,4134
534,rectangle,1010
535,unknown,4359
536,fireball,4939
537,light,12895
538,circle,5890
539,circle,5890
540,fireball,4939
541,light,12895
542,teardrop,560
543,triangle,6268
544,triangle,6268
545,unknown,4359
546,changing,1517
547,circle,5890
548,circle,5890
549,circle,5890
550,disk,3853
551,flash,1025
552,light,12895
553,light,12895
554,light,12895
555,sphere,4134
556,triangle,6268
557,triangle,6268
558,formation,1908
559,light,12895
560,other,4209
561,oval,2881
562,triangle,6268
563,circle,5890
564,circle,5890
565,diamond,884
566,triangle,6268
567,diamond,884
568,fireball,4939
569,light,12895
570,oval,2881
571,triangle,6268
572,fireball,4939
573,fireball,4939
574,fireball,4939
575,unknown,4359
576,unknown,4359
577,light,12895
578,light,12895
579,light,12895
580,triangle,6268
581,flash,1025
582,light,12895
583,unknown,4359
584,circle,5890
585,sphere,4134
586,triangle,6268
587,chevron,774
588,fireball,4939
589,formation,1908
590,unknown,4359
591,other,4209
592,circle,5890
593,oval,2881
594,egg,555
595,light,12895
596,circle,5890
597,disk,3853
598,flash,1025
599,light,12895
600,light,12895
601,other,4209
602,other,4209
603,other,4209
604,triangle,6268
605,triangle,6268
606,unknown,4359
607,other,4209
608,oval,2881
609,sphere,4134
610,changing,1517
611,cigar,1569
612,circle,5890
613,circle,5890
614,circle,5890
615,circle,5890
616,cross,177
617,disk,3853
618,disk,3853
619,disk,3853
620,fireball,4939
621,fireball,4939
622,flash,1025
623,light,12895
624,light,12895
625,light,12895
626,light,12895
627,light,12895
628,light,12895
629,light,12895
630,light,12895
631,light,12895
632,light,12895
633,light,12895
634,light,12895
635,other,4209
636,other,4209
637,other,4209
638,other,4209
639,other,4209
640,oval,2881
641,oval,2881
642,oval,2881
643,sphere,4134
644,sphere,4134
645,sphere,4134
646,triangle,6268
647,triangle,6268
648,triangle,6268
649,triangle,6268
650,triangle,6268
651,triangle,6268
652,triangle,6268
653,unknown,4359
654,unknown,4359
655,oval,2881
656,light,12895
657,circle,5890
658,light,12895
659,light,12895
660,triangle,6268
661,circle,5890
662,circle,5890
663,diamond,884
664,light,12895
665,cigar,1569
666,fireball,4939
667,fireball,4939
668,oval,2881
669,cylinder,977
670,unknown,4359
671,circle,5890
672,light,12895
673,egg,555
674,light,12895
675,light,12895
676,fireball,4939
677,unknown,4359
678,cigar,1569
679,light,12895
680,triangle,6268
681,circle,5890
682,circle,5890
683,circle,5890
684,cylinder,977
685,disk,3853
686,disk,3853
687,egg,555
688,egg,555
689,flash,1025
690,formation,1908
691,light,12895
692,light,12895
693,light,12895
694,light,12895
695,light,12895
696,light,12895
697,other,4209
698,triangle,6268
699,triangle,6268
700,triangle,6268
701,unknown,4359
702,formation,1908
703,other,4209
704,fireball,4939
705,light,12895
706,changing,1517
707,other,4209
708,triangle,6268
709,egg,555
710,changing,1517
711,egg,555
712,oval,2881
713,chevron,774
714,chevron,774
715,fireball,4939
716,fireball,4939
717,flash,1025
718,flash,1025
719,light,12895
720,light,12895
721,light,12895
722,light,12895
723,other,4209
724,other,4209
725,oval,2881
726,oval,2881
727,rectangle,1010
728,sphere,4134
729,triangle,6268
730,triangle,6268
731,triangle,6268
732,triangle,6268
733,triangle,6268
734,cylinder,977
735,unknown,4359
736,flash,1025
737,triangle,6268
738,changing,1517
739,circle,5890
740,disk,3853
741,disk,3853
742,fireball,4939
743,flash,1025
744,light,12895
745,light,12895
746,light,12895
747,rectangle,1010
748,rectangle,1010
749,sphere,4134
750,triangle,6268
751,triangle,6268
752,triangle,6268
753,triangle,6268
754,triangle,6268
755,unknown,4359
756,unknown,4359
757,unknown,4359
758,diamond,884
759,other,4209
760,light,12895
761,changing,1517
762,changing,1517
763,egg,555
764,sphere,4134
765,triangle,6268
766,disk,3853
767,light,12895
768,light,12895
769,fireball,4939
770,cylinder,977
771,changing,1517
772,triangle,6268
773,triangle,6268
774,sphere,4134
775,cigar,1569
776,light,12895
777,circle,5890
778,circle,5890
779,triangle,6268
780,flash,1025
781,circle,5890
782,circle,5890
783,light,12895
784,triangle,6268
785,circle,5890
786,circle,5890
787,formation,1908
788,light,12895
789,light,12895
790,light,12895
791,sphere,4134
792,circle,5890
793,cylinder,977
794,fireball,4939
795,light,12895
796,other,4209
797,unknown,4359
798,light,12895
799,cigar,1569
800,disk,3853
801,oval,2881
802,unknown,4359
803,triangle,6268
804,triangle,6268
805,unknown,4359
806,circle,5890
807,circle,5890
808,fireball,4939
809,disk,3853
810,light,12895
811,triangle,6268
812,unknown,4359
813,triangle,6268
814,light,12895
815,light,12895
816,diamond,884
817,cigar,1569
818,triangle,6268
819,egg,555
820,light,12895
821,cigar,1569
822,oval,2881
823,oval,2881
824,sphere,4134
825,changing,1517
826,teardrop,560
827,light,12895
828,circle,5890
829,disk,3853
830,disk,3853
831,circle,5890
832,diamond,884
833,circle,5890
834,triangle,6268
835,diamond,884
836,diamond,884
837,light,12895
838,unknown,4359
839,disk,3853
840,triangle,6268
841,rectangle,1010
842,triangle,6268
843,unknown,4359
844,disk,3853
845,circle,5890
846,circle,5890
847,fireball,4939
848,light,12895
849,circle,5890
850,disk,3853
851,fireball,4939
852,oval,2881
853,triangle,6268
854,cigar,1569
855,light,12895
856,light,12895
857,oval,2881
858,cigar,1569
859,circle,5890
860,circle,5890
861,circle,5890
862,cone,235
863,disk,3853
864,fireball,4939
865,fireball,4939
866,formation,1908
867,light,12895
868,other,4209
869,other,4209
870,other,4209
871,sphere,4134
872,sphere,4134
873,cigar,1569
874,circle,5890
875,formation,1908
876,fireball,4939
877,sphere,4134
878,sphere,4134
879,sphere,4134
880,fireball,4939
881,light,12895
882,sphere,4134
883,fireball,4939
884,fireball,4939
885,fireball,4939
886,sphere,4134
887,light,12895
888,fireball,4939
889,light,12895
890,light,12895
891,sphere,4134
892,triangle,6268
893,light,12895
894,triangle,6268
895,flash,1025
896,fireball,4939
897,light,12895
898,unknown,4359
899,unknown,4359
900,formation,1908
901,unknown,4359
902,other,4209
903,triangle,6268
904,light,12895
905,triangle,6268
906,fireball,4939
907,triangle,6268
908,circle,5890
909,triangle,6268
910,diamond,884
911,diamond,884
912,disk,3853
913,fireball,4939
914,light,12895
915,light,12895
916,triangle,6268
917,sphere,4134
918,triangle,6268
919,circle,5890
920,circle,5890
921,triangle,6268
922,triangle,6268
923,circle,5890
924,cylinder,977
925,light,12895
926,disk,3853
927,fireball,4939
928,formation,1908
929,light,12895
930,other,4209
931,other,4209
932,unknown,4359
933,chevron,774
934,circle,5890
935,light,12895
936,light,12895
937,light,12895
938,light,12895
939,triangle,6268
940,light,12895
941,circle,5890
942,changing,1517
943,light,12895
944,circle,5890
945,unknown,4359
946,other,4209
947,fireball,4939
948,formation,1908
949,light,12895
950,light,12895
951,light,12895
952,chevron,774
953,formation,1908
954,light,12895
955,light,12895
956,triangle,6268
957,unknown,4359
958,triangle,6268
959,triangle,6268
960,circle,5890
961,diamond,884
962,cigar,1569
963,light,12895
964,sphere,4134
965,circle,5890
966,cylinder,977
967,light,12895
968,oval,2881
969,changing,1517
970,circle,5890
971,circle,5890
972,cylinder,977
973,flash,1025
974,oval,2881
975,disk,3853
976,light,12895
977,light,12895
978,light,12895
979,light,12895
980,light,12895
981,circle,5890
982,cylinder,977
983,fireball,4939
984,fireball,4939
985,formation,1908
986,light,12895
987,light,12895
988,light,12895
989,light,12895
990,light,12895
991,light,12895
992,other,4209
993,teardrop,560
994,triangle,6268
995,triangle,6268
996,triangle,6268
997,triangle,6268
998,triangle,6268
999,triangle,6268
1000,unknown,4359
1001,unknown,4359
1002,unknown,4359
1003,rectangle,1010
1004,light,12895
1005,light,12895
1006,light,12895
1007,light,12895
1008,cigar,1569
1009,other,4209
1010,light,12895
1011,disk,3853
1012,flash,1025
1013,triangle,6268
1014,unknown,4359
1015,cigar,1569
1016,circle,5890
1017,circle,5890
1018,egg,555
1019,other,4209
1020,sphere,4134
1021,triangle,6268
1022,unknown,4359
1023,disk,3853
1024,disk,3853
1025,triangle,6268
1026,light,12895
1027,cylinder,977
1028,fireball,4939
1029,light,12895
1030,light,12895
1031,light,12895
1032,sphere,4134
1033,changing,1517
1034,changing,1517
1035,chevron,774
1036,cigar,1569
1037,cigar,1569
1038,circle,5890
1039,circle,5890
1040,cross,177
1041,disk,3853
1042,egg,555
1043,fireball,4939
1044,flash,1025
1045,flash,1025
1046,formation,1908
1047,light,12895
1048,light,12895
1049,light,12895
1050,light,12895
1051,other,4209
1052,other,4209
1053,rectangle,1010
1054,teardrop,560
1055,triangle,6268
1056,unknown,4359
1057,unknown,4359
1058,unknown,4359
1059,circle,5890
1060,unknown,4359
1061,fireball,4939
1062,other,4209
1063,disk,3853
1064,changing,1517
1065,circle,5890
1066,circle,5890
1067,circle,5890
1068,circle,5890
1069,disk,3853
1070,disk,3853
1071,fireball,4939
1072,formation,1908
1073,light,12895
1074,light,12895
1075,light,12895
1076,other,4209
1077,oval,2881
1078,oval,2881
1079,oval,2881
1080,oval,2881
1081,sphere,4134
1082,teardrop,560
1083,triangle,6268
1084,triangle,6268
1085,triangle,6268
1086,triangle,6268
1087,unknown,4359
1088,unknown,4359
1089,light,12895
1090,light,12895
1091,oval,2881
1092,triangle,6268
1093,changing,1517
1094,unknown,4359
1095,light,12895
1096,light,12895
1097,triangle,6268
1098,triangle,6268
1099,light,12895
1100,light,12895
1101,light,12895
1102,light,12895
1103,disk,3853
1104,circle,5890
1105,flash,1025
1106,other,4209
1107,unknown,4359
1108,circle,5890
1109,circle,5890
1110,light,12895
1111,other,4209
1112,triangle,6268
1113,fireball,4939
1114,flash,1025
1115,light,12895
1116,sphere,4134
1117,unknown,4359
1118,light,12895
1119,teardrop,560
1120,fireball,4939
1121,other,4209
1122,triangle,6268
1123,cross,177
1124,cylinder,977
1125,cylinder,977
1126,cylinder,977
1127,fireball,4939
1128,light,12895
1129,triangle,6268
1130,unknown,4359
1131,sphere,4134
1132,circle,5890
1133,circle,5890
1134,light,12895
1135,light,12895
1136,light,12895
1137,triangle,6268
1138,light,12895
1139,sphere,4134
1140,unknown,4359
1141,triangle,6268
1142,triangle,6268
1143,changing,1517
1144,light,12895
1145,circle,5890
1146,teardrop,560
1147,unknown,4359
1148,changing,1517
1149,cigar,1569
1150,cigar,1569
1151,circle,5890
1152,circle,5890
1153,diamond,884
1154,disk,3853
1155,flash,1025
1156,light,12895
1157,other,4209
1158,other,4209
1159,triangle,6268
1160,unknown,4359
1161,unknown,4359
1162,unknown,4359
1163,unknown,4359
1164,triangle,6268
1165,oval,2881
1166,light,12895
1167,triangle,6268
1168,changing,1517
1169,circle,5890
1170,triangle,6268
1171,diamond,884
1172,diamond,884
1173,disk,3853
1174,disk,3853
1175,disk,3853
1176,light,12895
1177,light,12895
1178,rectangle,1010
1179,unknown,4359
1180,disk,3853
1181,light,12895
1182,light,12895
1183,cigar,1569
1184,triangle,6268
1185,light,12895
1186,triangle,6268
1187,sphere,4134
1188,other,4209
1189,changing,1517
1190,chevron,774
1191,cigar,1569
1192,cigar,1569
1193,cigar,1569
1194,cigar,1569
1195,circle,5890
1196,circle,5890
1197,circle,5890
1198,circle,5890
1199,circle,5890
1200,circle,5890
1201,circle,5890
1202,circle,5890
1203,cylinder,977
1204,cylinder,977
1205,cylinder,977
1206,disk,3853
1207,disk,3853
1208,fireball,4939
1209,light,12895
1210,light,12895
1211,light,12895
1212,light,12895
1213,light,12895
1214,other,4209
1215,other,4209
1216,oval,2881
1217,rectangle,1010
1218,sphere,4134
