DateOnly,Count,Count,Count,
02/01/2014,570,474,464,1508
03/01/2014,463,470,298,1231
04/01/2014,473,288,576,1337
05/01/2014,278,564,562,1404
06/01/2014,578,557,541,1676
07/01/2014,549,560,565,1674
08/01/2014,560,556,440,1556
09/01/2014,554,451,463,1468
10/01/2014,448,471,284,1203
11/01/2014,471,286,566,1323
12/01/2014,273,570,542,1385
13/01/2014,580,540,567,1687
14/01/2014,564,547,532,1643
15/01/2014,560,558,437,1555
16/01/2014,552,430,461,1443
17/01/2014,431,468,295,1194
18/01/2014,475,278,,753
19/01/2014,279,,572,851
20/01/2014,1,583,540,1124
21/01/2014,586,557,533,1676
22/01/2014,547,542,441,1530
23/01/2014,567,440,471,1478
24/01/2014,455,468,301,1224
25/01/2014,471,295,548,1314
26/01/2014,299,563,558,1420
27/01/2014,570,538,560,1668
28/01/2014,555,559,555,1669
29/01/2014,570,541,427,1538
30/01/2014,568,440,474,1482
31/01/2014,456,468,311,1235
01/02/2014,463,275,565,1303
02/02/2014,281,522,538,1341
03/02/2014,555,546,541,1642
04/02/2014,577,572,554,1703
05/02/2014,544,554,446,1544
06/02/2014,554,446,188,1188
07/02/2014,447,470,308,1225
08/02/2014,472,282,559,1313
09/02/2014,280,569,548,1397
10/02/2014,563,557,560,1680
11/02/2014,556,548,533,1637
12/02/2014,555,554,436,1545
13/02/2014,557,447,467,1471
14/02/2014,452,468,298,1218
15/02/2014,473,280,,753
16/02/2014,324,1,581,906
17/02/2014,,531,548,1079
18/02/2014,585,555,541,1681
19/02/2014,565,579,424,1568
20/02/2014,566,443,464,1473
21/02/2014,450,471,278,1199
22/02/2014,473,286,555,1314
23/02/2014,297,563,537,1397
24/02/2014,568,544,544,1656
25/02/2014,561,564,548,1673
26/02/2014,573,564,439,1576
27/02/2014,558,453,480,1491
28/02/2014,452,469,266,1187
,,,566,566
01/03/2014,471,295,520,1286
02/03/2014,289,564,552,1405
03/03/2014,574,539,546,1659
04/03/2014,558,552,426,1536
05/03/2014,558,551,465,1574
06/03/2014,555,447,300,1302
07/03/2014,464,474,570,1508
08/03/2014,476,293,539,1308
09/03/2014,283,554,531,1368
10/03/2014,570,551,540,1661
11/03/2014,572,557,443,1572
12/03/2014,556,548,465,1569
13/03/2014,566,456,286,1308
14/03/2014,451,466,571,1488
15/03/2014,469,271,549,1289
16/03/2014,290,575,539,1404
17/03/2014,578,556,526,1660
18/03/2014,556,549,436,1541
19/03/2014,579,537,462,1578
20/03/2014,570,438,299,1307
21/03/2014,446,474,572,1492
22/03/2014,467,280,552,1299
23/03/2014,292,568,542,1402
24/03/2014,577,561,556,1694
25/03/2014,558,564,436,1558
26/03/2014,563,566,463,1592
27/03/2014,574,448,293,1315
28/03/2014,443,472,566,1481
29/03/2014,472,289,466,1227
30/03/2014,286,562,524,1372
31/03/2014,573,554,545,1672
01/04/2014,565,564,425,1554
02/04/2014,545,546,460,1551
03/04/2014,556,445,283,1284
04/04/2014,454,472,563,1489
05/04/2014,469,276,546,1291
06/04/2014,294,567,565,1426
07/04/2014,579,567,533,1679
08/04/2014,550,551,422,1523
09/04/2014,571,541,457,1569
10/04/2014,578,448,289,1315
11/04/2014,443,470,570,1483
12/04/2014,472,284,546,1302
13/04/2014,278,567,548,1393
14/04/2014,573,561,548,1682
15/04/2014,563,560,415,1538
16/04/2014,558,557,445,1560
17/04/2014,553,407,267,1227
18/04/2014,443,457,548,1448
19/04/2014,464,275,525,1264
20/04/2014,260,562,561,1383
21/04/2014,576,560,537,1673
22/04/2014,566,567,432,1565
23/04/2014,562,573,464,1599
24/04/2014,570,436,273,1279
25/04/2014,441,466,554,1461
26/04/2014,464,296,533,1293
