,DateOnly,Count
0,2016-01-02,464
1,2016-01-03,298
2,2016-01-04,576
3,2016-01-05,562
4,2016-01-06,541
5,2016-01-07,565
6,2016-01-08,440
7,2016-01-09,463
8,2016-01-10,284
9,2016-01-11,566
10,2016-01-12,542
11,2016-01-13,567
12,2016-01-14,532
13,2016-01-15,437
14,2016-01-16,461
15,2016-01-17,295
16,2016-01-19,572
17,2016-01-20,540
18,2016-01-21,533
19,2016-01-22,441
20,2016-01-23,471
21,2016-01-24,301
22,2016-01-25,548
23,2016-01-26,558
24,2016-01-27,560
25,2016-01-28,555
26,2016-01-29,427
27,2016-01-30,474
28,2016-01-31,311
29,2016-02-01,565
30,2016-02-02,538
31,2016-02-03,541
32,2016-02-04,554
33,2016-02-05,446
34,2016-02-06,188
35,2016-02-07,308
36,2016-02-08,559
37,2016-02-09,548
38,2016-02-10,560
39,2016-02-11,533
40,2016-02-12,436
41,2016-02-13,467
42,2016-02-14,298
43,2016-02-16,581
44,2016-02-17,548
45,2016-02-18,541
46,2016-02-19,424
47,2016-02-20,464
48,2016-02-21,278
49,2016-02-22,555
50,2016-02-23,537
51,2016-02-24,544
52,2016-02-25,548
53,2016-02-26,439
54,2016-02-27,480
55,2016-02-28,266
56,2016-02-29,566
57,2016-03-01,520
58,2016-03-02,552
59,2016-03-03,546
60,2016-03-04,426
61,2016-03-05,465
62,2016-03-06,300
63,2016-03-07,570
64,2016-03-08,539
65,2016-03-09,531
66,2016-03-10,540
67,2016-03-11,443
68,2016-03-12,465
69,2016-03-13,286
70,2016-03-14,571
71,2016-03-15,549
72,2016-03-16,539
73,2016-03-17,526
74,2016-03-18,436
75,2016-03-19,462
76,2016-03-20,299
77,2016-03-21,572
78,2016-03-22,552
79,2016-03-23,542
80,2016-03-24,556
81,2016-03-25,436
82,2016-03-26,463
83,2016-03-27,293
84,2016-03-28,566
85,2016-03-29,466
86,2016-03-30,524
87,2016-03-31,545
88,2016-04-01,425
89,2016-04-02,460
90,2016-04-03,283
91,2016-04-04,563
92,2016-04-05,546
93,2016-04-06,565
94,2016-04-07,533
95,2016-04-08,422
96,2016-04-09,457
97,2016-04-10,289
98,2016-04-11,570
99,2016-04-12,546
100,2016-04-13,548
101,2016-04-14,548
102,2016-04-15,415
103,2016-04-16,445
104,2016-04-17,267
105,2016-04-18,548
106,2016-04-19,525
107,2016-04-20,561
108,2016-04-21,537
109,2016-04-22,432
110,2016-04-23,464
111,2016-04-24,273
112,2016-04-25,554
113,2016-04-26,533
114,2016-04-27,562
115,2016-04-28,544
116,2016-04-29,426
117,2016-04-30,455
118,2016-05-01,265
119,2016-05-02,549
120,2016-05-03,542
121,2016-05-04,545
122,2016-05-05,532
123,2016-05-06,423
124,2016-05-07,397
125,2016-05-08,279
126,2016-05-09,566
127,2016-05-10,546
128,2016-05-11,528
129,2016-05-12,546
130,2016-05-13,415
131,2016-05-14,458
132,2016-05-15,274
133,2016-05-16,554
134,2016-05-17,531
135,2016-05-18,529
136,2016-05-19,543
137,2016-05-20,415
138,2016-05-21,465
139,2016-05-22,307
140,2016-05-23,551
141,2016-05-24,560
142,2016-05-25,540
143,2016-05-26,545
144,2016-05-27,428
145,2016-05-28,464
146,2016-05-29,274
147,2016-05-31,522
148,2016-06-01,489
149,2016-06-02,546
150,2016-06-03,372
151,2016-06-04,396
152,2016-06-05,279
153,2016-06-06,553
154,2016-06-07,537
155,2016-06-08,550
156,2016-06-09,533
157,2016-06-10,429
158,2016-06-11,458
159,2016-06-12,293
160,2016-06-13,566
161,2016-06-14,561
162,2016-06-15,540
163,2016-06-16,536
164,2016-06-17,438
165,2016-06-18,450
166,2016-06-19,278
167,2016-06-20,570
168,2016-06-21,551
169,2016-06-22,542
170,2016-06-23,541
171,2016-06-24,433
172,2016-06-25,456
173,2016-06-26,261
174,2016-06-27,577
175,2016-06-28,564
176,2016-06-29,549
177,2016-06-30,572
178,2016-07-01,455
179,2016-07-02,466
180,2016-07-03,285
181,2016-07-05,577
182,2016-07-06,566
183,2016-07-07,560
184,2016-07-08,463
185,2016-07-09,463
186,2016-07-10,284
187,2016-07-11,565
188,2016-07-12,576
189,2016-07-13,550
190,2016-07-14,545
191,2016-07-15,432
192,2016-07-16,460
193,2016-07-17,270
194,2016-07-18,578
195,2016-07-19,556
196,2016-07-20,389
197,2016-07-21,539
198,2016-07-22,435
199,2016-07-23,466
200,2016-07-24,291
201,2016-07-25,564
202,2016-07-26,558
203,2016-07-27,550
204,2016-07-28,551
205,2016-07-29,440
206,2016-07-30,452
207,2016-07-31,283
208,2016-08-01,579
209,2016-08-02,563
210,2016-08-03,541
211,2016-08-04,550
212,2016-08-05,437
213,2016-08-06,447
214,2016-08-07,282
215,2016-08-08,586
216,2016-08-09,543
217,2016-08-10,547
218,2016-08-11,536
219,2016-08-12,423
220,2016-08-13,449
221,2016-08-14,282
222,2016-08-15,563
223,2016-08-16,558
224,2016-08-17,543
225,2016-08-18,544
226,2016-08-19,433
227,2016-08-20,449
228,2016-08-21,300
229,2016-08-22,568
230,2016-08-23,554
231,2016-08-24,537
232,2016-08-26,439
233,2016-08-27,439
234,2016-08-28,264
235,2016-08-29,569
236,2016-08-30,553
237,2016-08-31,550
238,2016-09-01,563
239,2016-09-02,440
240,2016-09-03,453
241,2016-09-04,270
242,2016-09-06,584
243,2016-09-07,554
244,2016-09-08,540
245,2016-09-09,417
246,2016-09-10,458
247,2016-09-11,291
248,2016-09-12,550
249,2016-09-13,553
250,2016-09-14,551
251,2016-09-15,540
252,2016-09-16,425
253,2016-09-17,472
254,2016-09-18,273
255,2016-09-19,562
256,2016-09-20,535
257,2016-09-21,520
258,2016-09-22,523
259,2016-09-23,444
260,2016-09-24,458
261,2016-09-25,287
262,2016-09-26,525
263,2016-09-27,556
264,2016-09-28,549
265,2016-09-29,508
266,2016-09-30,415
267,2016-10-01,458
268,2016-10-02,291
269,2016-10-03,82
270,2016-10-04,104
271,2016-10-05,90
272,2016-10-06,550
273,2016-10-07,440
274,2016-10-08,459
275,2016-10-09,277
276,2016-10-10,537
277,2016-10-11,531
278,2016-10-12,534
279,2016-10-13,514
280,2016-10-14,456
281,2016-10-15,268
282,2016-10-16,279
283,2016-10-17,557
284,2016-10-18,553
285,2016-10-19,524
286,2016-10-20,538
287,2016-10-21,440
288,2016-10-22,459
289,2016-10-23,302
290,2016-10-24,536
291,2016-10-25,557
292,2016-10-26,519
293,2016-10-27,540
294,2016-10-28,428
295,2016-10-29,455
296,2016-10-30,278
297,2016-10-31,538
298,2016-11-01,532
299,2016-11-02,539
300,2016-11-03,546
301,2016-11-04,450
302,2016-11-05,456
303,2016-11-06,286
304,2016-11-07,548
305,2016-11-08,508
306,2016-11-09,519
307,2016-11-10,542
308,2016-11-12,416
309,2016-11-13,289
310,2016-11-14,499
311,2016-11-15,520
312,2016-11-16,533
313,2016-11-17,554
314,2016-11-18,423
315,2016-11-19,465
316,2016-11-20,276
317,2016-11-21,553
318,2016-11-22,564
319,2016-11-23,539
320,2016-11-25,414
321,2016-11-26,447
322,2016-11-27,283
323,2016-11-28,552
324,2016-11-29,544
325,2016-11-30,526
326,2016-12-01,544
327,2016-12-02,438
328,2016-12-03,465
329,2016-12-04,274
330,2016-12-05,536
331,2016-12-06,530
332,2016-12-07,540
333,2016-12-08,519
334,2016-12-09,357
335,2016-12-10,452
336,2016-12-11,268
337,2016-12-12,558
338,2016-12-13,537
339,2016-12-14,522
340,2016-12-15,508
341,2016-12-16,427
342,2016-12-17,460
343,2016-12-18,264
