DateOnly,DateOnly,Unnamed: 0,Count
1,April,264,1554
1,August,619,1488
1,December,975,1676
1,February,88,1303
1,July,529,1580
1,June,444,1337
1,March,171,1286
1,May,354,1081
1,November,891,1277
1,October,798,1529
1,September,472,1128
2,April,267,1551
2,August,622,1340
2,December,978,1532
2,February,91,1341
2,January,0,1508
2,July,532,1608
2,June,447,1679
2,March,174,1405
2,May,357,1452
2,November,894,1393
2,October,801,1255
2,September,713,1553
3,April,270,1284
3,August,625,1409
3,December,981,1559
3,February,94,1642
3,January,3,1231
3,July,535,1259
3,June,450,1494
3,March,177,1659
3,May,360,1300
3,November,897,1660
3,October,804,985
3,September,716,1579
4,April,273,1489
4,August,628,1703
4,December,984,1250
4,February,97,1703
4,January,6,1337
4,June,453,1505
4,March,180,1536
4,May,363,1400
4,November,900,1549
4,October,807,873
4,September,719,1271
5,April,276,1291
5,August,631,1533
5,December,987,1451
5,February,100,1544
5,January,9,1404
5,July,538,1350
5,June,456,1275
5,March,183,1574
5,May,366,1673
5,November,903,1553
5,October,810,919
5,September,480,911
6,April,279,1426
6,August,634,1567
6,December,990,1280
6,February,103,1188
6,January,12,1676
6,July,541,1455
6,June,459,1462
6,March,186,1302
6,May,369,1540
6,November,906,1290
6,October,813,1667
6,September,724,1358
7,April,282,1679
7,August,637,1238
7,December,993,1371
7,February,106,1225
7,January,15,1674
7,July,544,1708
7,June,462,1281
7,March,189,1508
7,May,372,1490
7,November,909,1457
7,October,816,1552
7,September,487,842
8,April,285,1523
8,August,640,1495
8,December,996,1630
8,February,109,1313
8,January,18,1556
8,July,547,1596
8,June,465,1408
8,March,192,1308
8,May,375,1264
8,November,912,1271
8,October,819,1560
8,September,729,1702
9,April,288,1569
9,August,643,1286
9,December,999,1452
9,February,112,1397
9,January,21,1468
9,July,550,1581
9,June,468,1657
9,March,195,1368
9,May,378,1471
9,November,915,1365
9,October,822,1256
9,September,732,1239
10,April,291,1315
10,August,646,1401
10,December,1002,1528
10,February,115,1680
10,January,24,1203
10,July,553,1306
10,June,471,1544
10,March,198,1661
10,May,381,1294
10,November,918,1672
10,October,825,1471
10,September,735,1587
11,April,294,1483
11,August,649,1662
11,December,1005,1247
11,February,118,1637
11,January,27,1323
11,July,556,1495
11,June,474,1572
11,March,201,1572
11,May,384,1368
11,October,828,1276
11,September,738,1286
12,April,297,1302
12,August,652,1505
12,December,1008,1402
12,February,121,1545
12,January,30,1385
12,July,559,1333
12,June,477,1304
12,March,204,1569
12,May,387,1673
12,November,921,1560
12,October,831,1387
12,September,741,1448
13,April,300,1393
13,August,655,1579
13,December,1011,1292
13,February,124,1471
13,January,33,1687
13,July,562,1410
13,June,480,1484
13,March,207,1308
13,May,390,1509
13,November,924,1273
13,October,834,1623
13,September,744,1302
14,April,303,1682
14,August,658,1285
14,December,1014,1347
14,February,127,1218
14,January,36,1643
14,July,565,1694
14,June,483,1309
14,March,210,1488
14,May,393,1558
14,November,927,1432
14,October,837,1551
14,September,747,1424
15,April,306,1538
15,August,661,1467
15,December,1017,1618
15,February,87,753
15,January,39,1555
15,July,568,1567
15,June,486,1402
15,March,213,1289
15,May,396,1249
15,November,930,1285
15,October,840,1376
15,September,750,1669
16,April,309,1560
16,August,664,1319
16,December,1020,1507
16,February,132,906
16,January,42,1443
16,July,571,1568
16,June,489,1677
16,March,216,1404
16,May,399,1457
16,November,933,1374
16,October,843,1273
16,September,753,1537
17,April,312,1227
17,August,667,1410
17,December,1023,1521
17,February,89,1079
17,January,45,1194
17,July,574,1295
17,June,492,1574
17,March,219,1660
17,May,402,1276
17,November,936,1664
17,October,846,1452
17,September,756,1563
18,April,315,1448
18,August,670,1695
18,December,1026,1205
18,February,137,1681
18,January,32,753
18,July,577,1294
18,June,495,1571
18,March,222,1541
18,May,405,1383
18,November,939,1529
18,October,849,1309
18,September,759,1265
19,April,318,1264
19,August,673,1558
19,December,1029,1452
19,February,140,1568
19,January,33,851
19,July,580,1297
19,June,498,1288
19,March,225,1578
19,May,408,1683
19,November,942,1582
19,October,852,1357
19,September,762,1465
20,April,321,1383
20,August,676,1578
20,December,1032,1288
20,February,143,1473
20,January,52,1124
20,July,583,1257
20,June,501,1477
20,March,228,1307
20,May,411,1520
20,November,945,1290
20,October,855,1644
20,September,765,1294
21,April,324,1673
21,August,679,1300
21,December,1035,1362
21,February,146,1199
21,January,55,1676
21,July,586,1625
21,June,504,1322
21,March,231,1492
21,May,414,1593
21,November,948,1449
21,October,858,1533
21,September,768,1373
22,April,327,1565
22,August,682,1460
22,December,1038,1653
22,February,149,1314
22,January,58,1530
22,July,589,1575
22,June,507,1415
22,March,234,1299
22,May,417,1311
22,November,951,1320
22,October,861,1545
22,September,771,1644
23,April,330,1599
23,August,685,1295
23,December,1041,1571
23,February,152,1397
23,January,61,1478
23,July,592,1583
23,June,510,1703
23,March,237,1402
23,May,420,1470
23,November,954,1382
23,October,864,1291
23,September,774,1544
24,April,333,1279
24,August,688,1391
24,February,155,1656
24,January,64,1224
24,July,595,1305
24,June,342,1014
24,March,240,1694
24,May,423,1314
24,November,637,1132
24,October,867,1440
24,September,777,1552
25,April,336,1461
25,August,459,1132
25,February,158,1673
25,January,67,1314
25,July,598,1477
25,June,344,1036
25,March,243,1558
25,May,284,834
25,November,959,1535
25,October,870,1329
25,September,780,1277
26,April,339,1293
26,August,693,1552
26,December,1044,1368
26,February,161,1576
26,January,70,1420
26,July,601,1319
26,June,346,825
26,March,246,1592
26,May,285,1131
26,November,644,1019
26,October,873,1357
26,September,783,1436
27,April,342,1430
27,August,696,1559
27,December,1047,1257
27,February,164,1491
27,January,73,1668
27,July,604,1413
27,June,348,1034
27,March,249,1315
27,May,430,1577
27,November,640,707
27,October,876,1634
27,September,786,1330
28,April,345,1669
28,August,699,1265
28,December,1050,1375
28,February,167,1187
28,January,76,1669
28,July,607,1705
28,June,350,1036
28,March,252,1481
28,May,433,1569
28,November,966,1442
28,October,879,1522
28,September,789,1380
29,April,348,1531
29,August,702,1473
29,December,1053,1633
29,February,56,566
29,January,79,1538
29,July,610,1558
29,June,523,1291
29,March,255,1227
29,May,436,1247
29,November,969,1293
29,October,882,1549
29,September,792,1634
30,April,351,1546
30,August,705,1306
30,December,1056,1556
30,January,82,1482
30,July,613,1571
30,June,526,1720
30,March,258,1372
30,May,292,891
30,November,972,1365
30,October,885,1235
30,September,795,1511
31,August,708,1391
31,December,1059,1350
31,January,85,1235
31,July,616,1284
31,March,261,1672
31,May,441,1276
31,October,888,1405
