,species,body_mass_g
0,Adelie,3750.0
1,Adelie,3800.0
2,Adelie,3250.0
3,Adelie,
4,Adelie,3450.0
5,Adelie,3650.0
6,Adelie,3625.0
7,Adelie,4675.0
8,Adelie,3475.0
9,Adelie,4250.0
10,Adelie,3300.0
11,Adelie,3700.0
12,Adelie,3200.0
13,Adelie,3800.0
14,Adelie,4400.0
15,Adelie,3700.0
16,Adelie,3450.0
17,Adelie,4500.0
18,Adelie,3325.0
19,Adelie,4200.0
20,Adelie,3400.0
21,Adelie,3600.0
22,Adelie,3800.0
23,Adelie,3950.0
24,Adelie,3800.0
25,Adelie,3800.0
26,Adelie,3550.0
27,Adelie,3200.0
28,Adelie,3150.0
29,Adelie,3950.0
30,Adelie,3250.0
31,Adelie,3900.0
32,Adelie,3300.0
33,Adelie,3900.0
34,Adelie,3325.0
35,Adelie,4150.0
36,Adelie,3950.0
37,Adelie,3550.0
38,Adelie,3300.0
39,Adelie,4650.0
40,Adelie,3150.0
41,Adelie,3900.0
42,Adelie,3100.0
43,Adelie,4400.0
44,Adelie,3000.0
45,Adelie,4600.0
46,Adelie,3425.0
47,Adelie,2975.0
48,Adelie,3450.0
49,Adelie,4150.0
50,Adelie,3500.0
51,Adelie,4300.0
52,Adelie,3450.0
53,Adelie,4050.0
54,Adelie,2900.0
55,Adelie,3700.0
56,Adelie,3550.0
57,Adelie,3800.0
58,Adelie,2850.0
59,Adelie,3750.0
60,Adelie,3150.0
61,Adelie,4400.0
62,Adelie,3600.0
63,Adelie,4050.0
64,Adelie,2850.0
65,Adelie,3950.0
66,Adelie,3350.0
67,Adelie,4100.0
68,Adelie,3050.0
69,Adelie,4450.0
70,Adelie,3600.0
71,Adelie,3900.0
72,Adelie,3550.0
73,Adelie,4150.0
74,Adelie,3700.0
75,Adelie,4250.0
76,Adelie,3700.0
77,Adelie,3900.0
78,Adelie,3550.0
79,Adelie,4000.0
80,Adelie,3200.0
81,Adelie,4700.0
82,Adelie,3800.0
83,Adelie,4200.0
84,Adelie,3350.0
85,Adelie,3550.0
86,Adelie,3800.0
87,Adelie,3500.0
88,Adelie,3950.0
89,Adelie,3600.0
90,Adelie,3550.0
91,Adelie,4300.0
92,Adelie,3400.0
93,Adelie,4450.0
94,Adelie,3300.0
95,Adelie,4300.0
96,Adelie,3700.0
97,Adelie,4350.0
98,Adelie,2900.0
99,Adelie,4100.0
100,Adelie,3725.0
101,Adelie,4725.0
102,Adelie,3075.0
103,Adelie,4250.0
104,Adelie,2925.0
105,Adelie,3550.0
106,Adelie,3750.0
107,Adelie,3900.0
108,Adelie,3175.0
109,Adelie,4775.0
110,Adelie,3825.0
111,Adelie,4600.0
112,Adelie,3200.0
113,Adelie,4275.0
114,Adelie,3900.0
115,Adelie,4075.0
116,Adelie,2900.0
117,Adelie,3775.0
118,Adelie,3350.0
119,Adelie,3325.0
120,Adelie,3150.0
121,Adelie,3500.0
122,Adelie,3450.0
123,Adelie,3875.0
124,Adelie,3050.0
125,Adelie,4000.0
126,Adelie,3275.0
127,Adelie,4300.0
128,Adelie,3050.0
