,date,mean_temperature_f,mean_wind_speed_mph,precipitation_in,events
0,2014-10-13,62.0,4,0.0,Rain
1,2014-10-14,59.0,5,0.11,Rain
2,2014-10-15,58.0,7,0.45,Rain
3,2014-10-16,61.0,4,0.0,Rain
4,2014-10-17,60.0,3,0.14,Rain
5,2014-10-18,64.0,4,0.31,Rain
6,2014-10-19,64.0,3,0.0,
7,2014-10-20,60.0,5,0.44,Rain
8,2014-10-21,58.0,8,0.1,Rain
9,2014-10-22,58.0,8,1.43,Rain
10,2014-10-23,55.0,9,0.35,Rain
11,2014-10-24,56.0,4,0.13,Rain
12,2014-10-25,58.0,6,0.37,Rain
13,2014-10-26,52.0,12,0.05,Rain
14,2014-10-27,54.0,4,0.01,Rain
15,2014-10-28,56.0,5,0.34,Rain
16,2014-10-29,59.0,7,0.04,Rain
17,2014-10-30,58.0,2,0.67,Rain
18,2014-10-31,54.0,4,0.77,Rain
19,2014-11-01,52.0,1,0.0,
20,2014-11-02,51.0,5,0.11,Rain
21,2014-11-03,58.0,8,0.24,Rain
22,2014-11-04,58.0,6,0.05,Rain
23,2014-11-05,57.0,2,0.27,Rain
24,2014-11-06,60.0,8,0.22,Rain
25,2014-11-07,52.0,3,0.0,
26,2014-11-08,48.0,1,0.0,
27,2014-11-09,52.0,6,0.29,Rain
28,2014-11-10,48.0,2,0.0,
29,2014-11-11,42.0,5,0.0,
30,2014-11-12,39.0,8,0.0,
31,2014-11-13,40.0,4,0.0,
32,2014-11-14,38.0,2,0.0,
33,2014-11-15,38.0,1,0.0,
34,2014-11-16,39.0,1,0.0,
35,2014-11-17,41.0,1,0.0,
36,2014-11-18,39.0,1,0.0,
37,2014-11-19,44.0,2,0.0,Rain
38,2014-11-20,49.0,4,0.11,Rain
39,2014-11-21,52.0,7,0.67,Rain
40,2014-11-22,48.0,8,0.03,Rain
41,2014-11-23,50.0,10,0.42,Rain
42,2014-11-24,47.0,6,0.01,Rain
43,2014-11-25,56.0,6,0.33,Rain
44,2014-11-26,59.0,11,0.01,Rain
45,2014-11-27,58.0,12,0.04,Rain
46,2014-11-28,48.0,9,1.39,Rain
47,2014-11-29,35.0,6,0.06,"Rain , Snow"
48,2014-11-30,33.0,2,0.0,
49,2014-12-01,34.0,1,0.0,
50,2014-12-02,35.0,3,0.0,
51,2014-12-03,40.0,1,0.0,
52,2014-12-04,44.0,2,0.05,Rain
53,2014-12-05,50.0,2,0.09,Rain
54,2014-12-06,52.0,7,0.25,Rain
55,2014-12-07,49.0,0,0.0,Fog
56,2014-12-08,55.0,3,0.45,Rain
57,2014-12-09,57.0,8,0.42,Rain
58,2014-12-10,61.0,10,0.5,Rain
59,2014-12-11,55.0,8,0.33,Rain
60,2014-12-12,52.0,10,0.0,
61,2014-12-13,46.0,3,0.01,
62,2014-12-14,47.0,2,0.0,Fog
63,2014-12-15,48.0,6,0.0,
64,2014-12-16,48.0,5,0.0,Rain
65,2014-12-17,48.0,1,0.16,Rain
66,2014-12-18,48.0,4,0.6,Rain
67,2014-12-19,50.0,8,0.13,Rain
68,2014-12-20,52.0,7,0.6,Rain
69,2014-12-21,55.0,7,0.0,
70,2014-12-22,48.0,1,0.0,
71,2014-12-23,48.0,5,0.61,Rain
72,2014-12-24,44.0,5,0.12,Rain
73,2014-12-25,42.0,3,0.0,
74,2014-12-26,42.0,4,0.0,
75,2014-12-27,47.0,8,0.12,Rain
76,2014-12-28,44.0,5,0.06,Rain
77,2014-12-29,42.0,3,0.0,
78,2014-12-30,34.0,1,0.0,
79,2014-12-31,34.0,2,0.0,
80,2015-01-01,35.0,0,0.0,
81,2015-01-02,38.0,4,0.03,
82,2015-01-03,38.0,2,0.0,Rain
83,2015-01-04,48.0,7,0.22,Rain
84,2015-01-05,56.0,14,0.07,Rain
85,2015-01-06,50.0,2,0.01,Fog
86,2015-01-07,47.0,2,0.0,
87,2015-01-08,44.0,3,0.0,Fog
88,2015-01-09,44.0,2,0.01,"Fog , Rain"
89,2015-01-10,46.0,1,0.18,Rain
90,2015-01-11,48.0,1,0.06,"Fog , Rain"
91,2015-01-12,49.0,1,0.0,Rain
92,2015-01-13,44.0,2,0.0,
93,2015-01-14,42.0,3,0.0,
